Position,NumPlayers,AvgDiff_PD,AvgDiff_Comb,AvgDiff_Solo,AvgDiff_Ast,OverallAvgDiff,AvgDiff_Y/R,AvgDiff_Y/Tgt,AvgDiff_Succ%,AvgDiff_FG%,AvgDiff_Lng,AvgDiff_Y/P,AvgDiff_Yds,AvgDiff_Cmp%,AvgDiff_Int,AvgDiff_TD,AvgDiff_1D,AvgDiff_Y/A
FB,1,,,,,26.80372791209012,29.78723404255321,35.65891472868217,14.96503496503498,,,,,,,,,
CB,11,3.945156074012693,15.523206469385622,6.239475167306247,64.17389630878475,22.470433504872332,,,,,,,,,,,,
P,6,,,,,2.4582048404931087,,,,,3.6643957417215165,1.252013939264702,,,,,,
WR,18,,,,,1.6573718173726308,5.35203014619262,1.8284219402736583,-2.2083366343483855,,,,,,,,,
K,4,,,,,1.433637591471801,,,,1.8964791518434931,0.970796031100109,,,,,,,
QB,4,,,,,-1.5221593749566398,,,,,,,-0.15393723379179747,2.1977127684003896,-3.6827551533433933,-2.5969677771325053,-3.3748494789158934,
TE,14,,,,,-6.933628236723737,-14.66627397901796,-10.657942520414352,4.5233317892611025,,,,,,,,,
RB,6,,,,,-10.558813543176559,-16.15176548716744,,12.970908692829981,,,,,,,,-15.757910648095963,-23.296486730272814
S,14,-10.61482622738704,-15.208469503971529,-17.077659587787917,-7.891782507705536,-12.698184456713006,,,,,,,,,,,,
