Player,Season,PD,Comb,Solo,Ast
Jadeveon Clowney,2014,0.00,7.00,5.00,2.00
Jadeveon Clowney,2015,6.00,40.00,27.00,13.00
Jadeveon Clowney,2016,2.00,52.00,40.00,12.00
Jadeveon Clowney,2017,2.00,59.00,41.00,18.00
Jadeveon Clowney,2018,1.00,47.00,38.00,9.00
Jadeveon Clowney,2019,3.00,31.00,21.00,10.00
Jadeveon Clowney,2020,4.00,19.00,14.00,5.00
Jadeveon Clowney,2021,2.00,37.00,24.00,13.00
Jadeveon Clowney,2022,3.00,28.00,14.00,14.00
Jadeveon Clowney,2023,5.00,43.00,24.00,19.00
Jadeveon Clowney,2024,4.00,46.00,24.00,22.00
