Player,Season,Yds,Cmp%,Int,TD,1D
Kirk Cousins,2012,466.00,68.80,3.00,4.00,20.00
Kirk Cousins,2013,854.00,52.30,7.00,4.00,42.00
Kirk Cousins,2014,1710.00,61.80,9.00,10.00,75.00
Kirk Cousins,2015,4166.00,69.80,11.00,29.00,205.00
Kirk Cousins,2016,4917.00,67.00,12.00,25.00,227.00
Kirk Cousins,2017,4093.00,64.30,13.00,27.00,194.00
Kirk Cousins,2018,4298.00,70.10,10.00,30.00,218.00
Kirk Cousins,2019,3603.00,69.10,6.00,26.00,165.00
Kirk Cousins,2020,4265.00,67.60,13.00,35.00,212.00
Kirk Cousins,2021,4221.00,66.30,7.00,33.00,192.00
Kirk Cousins,2022,4547.00,65.90,14.00,29.00,230.00
Kirk Cousins,2023,2331.00,69.50,5.00,18.00,112.00
Kirk Cousins,2024,3508.00,66.90,16.00,18.00,163.00
